"","MSW3_ID","Scientific_name","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","TaxID","Order","Family","Genus","AdultBodyMass_g","Sources_AdultBodyMass","Max_longevity_d","Sources_Max_longevity","Rspan_d","AFR_d","Data_AFR","Calculated_GL_d","GenerationLength_d","Sources_GL","Carnivore","disp","disp50"
"1",1,"Tachyglossus_aculeatus","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","G","A",NA,1,1,0,"Ref_1","ABC",3025,"Ref_117",1,41312,"Monotremata","Tachyglossidae","Tachyglossus",4499.97,"PanTHERIA","18158.75","PanTHERIA;AnAge","17621.76","576.71","calculated","5687.0204",5687.0204,"Rspan-AFR(SM+Gest)",1,6.40748214549688,320.374107274844
"2",2,"Zaglossus_attenboroughi","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Ref_65","ABC","G","A",NA,1,0,0,"Ref_1","ABC",8532.39,"Ref_2, Ref_3",0,136322,"Monotremata","Tachyglossidae","Zaglossus",2500,"Animal Diversity","no information","no information","no information","no information","no information","no information",5657.5,"Mean_congenerics_same_body_mass",1,14.9185748165668,745.928740828342
"3",3,"Zaglossus_bartoni","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Ref_2","D1","G","A",NA,1,0,0,"Ref_1","ABC",7180,"Ref_131",1,136552,"Monotremata","Tachyglossidae","Zaglossus",6500,"Animal Diversity","no information","no information","no information","no information","no information","no information",5840,"GMA",1,12.5670281111887,628.351405559437
"4",4,"Zaglossus_bruijni","Tachyglossidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","G","A",NA,1,0,0,"Ref_1","ABC",10139.5,"Ref_117",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"5",5,"Ornithorhynchus_anatinus","Ornithorhynchidae",80,0,0,20,0,0,0,0,0,0,"Ref_1","ABC","G","A",NA,1,1,1,"Ref_1","ABC",1484.25,"Ref_117",1,40488,"Monotremata","Ornithorhynchidae","Ornithorhynchus",1484.25,"PanTHERIA","8139.5","PanTHERIA;AnAge","7409.5","730","PanTHERIA","2878.755",2878.755,"Rspan-AFB",1,7.11050825904256,355.525412952128
"6",6,"Caluromys_philander","Didelphidae",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC","Ar","A",NA,1,1,0,"Ref_1","ABC",229.25,"Ref_117",1,3649,"Didelphimorphia","Didelphidae","Caluromys",246.47,"PanTHERIA","2780.0833333","PanTHERIA;AnAge","2445.5033333","334.58","PanTHERIA","1043.7759667",1043.775967,"Rspan-AFB",0,0.444643552460862,22.2321776230431
"7",7,"Caluromys_derbianus","Didelphidae",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC","Ar","A",NA,1,1,0,"Ref_1","ABC",297,"Ref_117",1,3650,"Didelphimorphia","Didelphidae","Caluromys",326.72,"PanTHERIA","2500.25","PanTHERIA;AnAge","2260.25","240","calculated","895.4725",895.4725,"Rspan-AFR(SM+Gest)",0,0.613278383595284,30.6639191797642
"8",8,"Caluromys_lanatus","Didelphidae",20,0,0,0,10,0,20,0,10,40,"Ref_1","ABC","Ar","A",NA,1,1,0,"Ref_1","ABC",325,"Ref_117",1,3648,"Didelphimorphia","Didelphidae","Caluromys",350.33,"PanTHERIA","1825","PanTHERIA","no information","no information","no information","no information",969.6242333,"Mean_congenerics_same_body_mass",0,0.600535854862752,30.0267927431376
"9",9,"Caluromysiops_irrupta","Didelphidae",20,0,0,0,0,0,20,40,0,20,"Ref_1","ABC","Ar","A",NA,1,0,0,"Ref_1","ABC",250,"Ref_117",1,3651,"Didelphimorphia","Didelphidae","Caluromysiops",257.48,"PanTHERIA","2859.1666667","PanTHERIA","no information","no information","no information","no information",843.3734222,"Mean_family_same_body_mass",0,0.582182723374283,29.1091361687142
"10",10,"Glironia_venusta","Didelphidae",40,0,0,0,20,0,20,0,20,0,"Ref_1","ABC","Ar","A",NA,1,0,0,"Ref_1","ABC",114,"Ref_117",1,9245,"Didelphimorphia","Didelphidae","Glironia",114,"PanTHERIA","no information","no information","no information","no information","no information","no information",843.3734222,"Mean_family_same_body_mass",0,0.349451139581942,17.4725569790971
"11",11,"Chironectes_minimus","Didelphidae",50,0,0,30,0,0,0,0,0,20,"Ref_1","ABC","G","A",NA,1,0,0,"Ref_1","ABC",946,"Ref_117",1,4671,"Didelphimorphia","Didelphidae","Chironectes",974.33,"PanTHERIA","1113.25","PanTHERIA;AnAge","no information","no information","no information","no information",843.3734222,"Mean_family_same_body_mass",0,1.38269867402382,69.1349337011912
"12",12,"Didelphis_aurita","Didelphidae",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC","S","A",NA,1,0,0,"Ref_1","ABC",1163.99,"Ref_117",1,40500,"Didelphimorphia","Didelphidae","Didelphis",1105.88,"PanTHERIA","1460","AnAge","no information","no information","no information","no information",553.4351,"Mean_congenerics_same_body_mass",0,2.41111836424925,120.555918212463
"13",13,"Didelphis_imperfecta","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC","S","A",NA,1,0,0,"Ref_1","ABC",1260.04,"Ref_2, Ref_3",0,136592,"Didelphimorphia","Didelphidae","Didelphis",904.003,"Verde Arregoitia et al. 2013","no information","no information","no information","no information","no information","no information",553.4351,"Mean_congenerics",0,2.53864126231434,126.932063115717
"14",14,"Didelphis_marsupialis","Didelphidae",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC","S","A",NA,1,0,0,"Ref_1","ABC",1091.16,"Ref_117",1,40501,"Didelphimorphia","Didelphidae","Didelphis",1134.75,"PanTHERIA","1259.25","PanTHERIA;AnAge; Carn_ung","1076.75","182.5","PanTHERIA","494.7575",494.7575,"Rspan-AFB",0,2.58614764925865,129.307382462933
"15",15,"Didelphis_pernigra","Didelphidae",20,0,0,0,30,30,0,0,0,20,"Ref_2","D1","S","A",NA,1,0,0,"Ref_1","ABC",1260.04,"Ref_2, Ref_3",0,136395,"Didelphimorphia","Didelphidae","Didelphis",904.003,"Verde Arregoitia et al. 2013","no information","no information","no information","no information","no information","no information",553.4351,"Mean_congenerics",0,2.53864126231434,126.932063115717
"16",16,"Didelphis_virginiana","Didelphidae",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC","S","A",NA,1,0,0,"Ref_1","ABC",2195.48,"Ref_117",1,40502,"Didelphimorphia","Didelphidae","Didelphis",2442.08,"PanTHERIA","2117","PanTHERIA;AnAge; Carn_ung","1931","186","PanTHERIA","745.99",745.99,"Rspan-AFB",0,2.70196287781997,135.098143890998
"17",17,"Didelphis_albiventris","Didelphidae",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC","S","A",NA,1,0,0,"Ref_1","ABC",904,"Ref_117",1,40489,"Didelphimorphia","Didelphidae","Didelphis",1030.47,"PanTHERIA","620.5","PanTHERIA","316.82","327.68","calculated","419.5578",419.5578,"Rspan-AFR(SM+Gest)",0,2.69858373674888,134.929186837444
"18",18,"Gracilinanus_formosus","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Ref_2","D1","S","A",NA,1,1,0,"Ref_2","D1",18.9,"Ref_2, Ref_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"19",19,"Gracilinanus_emiliae","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC","S","A",NA,1,1,0,"Ref_1","ABC",7.6,"Ref_117",1,9419,"Didelphimorphia","Didelphidae","Gracilinanus",7.59,"PanTHERIA","no information","no information","no information","no information","no information","no information",684.5132021,"Mean_family",0,0.0740568481592752,3.70284240796376
"20",20,"Gracilinanus_microtarsus","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC","S","A",NA,1,1,0,"Ref_1","ABC",31,"Ref_117",1,9421,"Didelphimorphia","Didelphidae","Gracilinanus",29.3,"PanTHERIA","no information","no information","no information","no information","no information","no information",642.840025,"Mean_family_same_body_mass",0,0.196652924822816,9.83264624114081
"21",21,"Gracilinanus_marica","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC","S","A",NA,1,1,0,"Ref_1","ABC",23.8,"Ref_117",1,9420,"Didelphimorphia","Didelphidae","Gracilinanus",23.8,"PanTHERIA","no information","no information","no information","no information","no information","no information",642.840025,"Mean_family_same_body_mass",0,0.165611439145836,8.28057195729179
"22",22,"Gracilinanus_dryas","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC","S","A",NA,1,1,0,"Ref_1","ABC",18,"Ref_117",1,9418,"Didelphimorphia","Didelphidae","Gracilinanus",18.53,"PanTHERIA","no information","no information","no information","no information","no information","no information",642.840025,"Mean_family_same_body_mass",0,0.138115505538308,6.90577527691538
"23",23,"Gracilinanus_aceramarcae","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC","S","A",NA,1,1,0,"Ref_1","ABC",20.5,"Ref_117",1,9416,"Didelphimorphia","Didelphidae","Gracilinanus",20.5,"PanTHERIA","no information","no information","no information","no information","no information","no information",642.840025,"Mean_family_same_body_mass",0,0.150298732724987,7.51493663624935
"24",24,"Gracilinanus_agricolai","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Ref_2","D1","S","A",NA,1,1,0,"Ref_2","D1",18.9,"Ref_2, Ref_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"25",25,"Gracilinanus_agilis","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Ref_1","ABC","S","A",NA,1,1,0,"Ref_1","ABC",22,"Ref_117",1,9417,"Didelphimorphia","Didelphidae","Gracilinanus",22.03,"PanTHERIA","2226.5","AnAge","no information","no information","no information","no information",642.840025,"Mean_family_same_body_mass",0,0.157358443669276,7.86792218346378
"26",26,"Gracilinanus_ignitus","Didelphidae",50,0,0,0,0,0,30,20,0,0,"Ref_2","D1","S","A",NA,1,1,0,"Ref_2","D1",18.9,"Ref_2, Ref_3",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"27",27,"Hyladelphys_kalinowskii","Didelphidae",60,10,0,0,0,10,20,0,0,0,"Ref_3","D2","Ar","A",NA,1,0,0,"Ref_3","D2",16.75,"Ref_155",1,9422,"Didelphimorphia","Didelphidae","Hyladelphys",196.8175859,"Mean_confamilials","no information","no information","no information","no information","no information","no information",843.3734222,"Mean_family_same_body_mass",0,0.100463414601875,5.02317073009374
"28",28,"Lestodelphys_halli","Didelphidae",0,100,0,0,0,0,0,0,0,0,"Ref_1","ABC","S","A",NA,1,0,0,"Ref_1","ABC",76,"Ref_117",1,11856,"Didelphimorphia","Didelphidae","Lestodelphys",78.27,"PanTHERIA","no information","no information","no information","no information","no information","no information",642.840025,"Mean_family_same_body_mass",1,2.86774634071239,143.387317035619
"29",29,"Lutreolina_crassicaudata","Didelphidae",20,40,20,20,0,0,0,0,0,0,"Ref_1","ABC","S","A",NA,1,0,0,"Ref_1","ABC",537.3,"Ref_117",1,40503,"Didelphimorphia","Didelphidae","Lutreolina",554.77,"PanTHERIA","1076.75","PanTHERIA;AnAge; Carn_ung","no information","no information","no information","no information",843.3734222,"Mean_family_same_body_mass",1,10.6571324662782,532.856623313909
"30",30,"Marmosa_murina","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A",NA,1,0,0,"Ref_1","ABC",26,"Ref_117",1,40505,"Didelphimorphia","Didelphidae","Marmosa",36.28,"PanTHERIA","1314","AnAge","no information","no information","no information","no information",568.63755,"Mean_congenerics_same_body_mass",0,0.198296641901288,9.91483209506439
"31",31,"Marmosa_xerophila","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A",NA,1,0,0,"Ref_1","ABC",46.2,"Ref_117",1,12815,"Didelphimorphia","Didelphidae","Marmosa",46.2,"PanTHERIA","no information","no information","no information","no information","no information","no information",568.63755,"Mean_congenerics_same_body_mass",0,0.288137621948844,14.4068810974422
"32",32,"Marmosa_tyleriana","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A",NA,1,0,0,"Ref_1","ABC",32.4,"Ref_117",1,12816,"Didelphimorphia","Didelphidae","Marmosa",32.4,"PanTHERIA","no information","no information","no information","no information","no information","no information",568.63755,"Mean_congenerics_same_body_mass",0,0.228789948246386,11.4394974123193
"33",33,"Marmosa_rubra","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A",NA,1,0,0,"Ref_1","ABC",63,"Ref_117",1,40507,"Didelphimorphia","Didelphidae","Marmosa",62.99,"PanTHERIA","no information","no information","no information","no information","no information","no information",568.63755,"Mean_congenerics_same_body_mass",0,0.352495876173963,17.6247938086982
"34",34,"Marmosa_quichua","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_2","D1","Ar","A",NA,1,0,0,"Ref_2","D1",38.23,"Ref_2, Ref_3",0,136508,"Didelphimorphia","Didelphidae","Marmosa",66.61034,"Verde Arregoitia et al. 2013","no information","no information","no information","no information","no information","no information",568.63755,"Mean_congenerics_same_body_mass",0,0.254768351612812,12.7384175806406
"35",35,"Marmosa_mexicana","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A",NA,1,0,0,"Ref_1","ABC",49.45,"Ref_117",1,40504,"Didelphimorphia","Didelphidae","Marmosa",49.06,"PanTHERIA","2555","PanTHERIA","no information","no information","no information","no information",568.63755,"Mean_congenerics_same_body_mass",0,0.301155483836959,15.057774191848
