"","x"
"1","Aichivirus_A"
"2","Alagoas_vesiculovirus"
"3","Alphacoronavirus_1"
"4","Andes_orthohantavirus"
"5","Avian_avulavirus_1"
"6","Avian_metapneumovirus"
"7","Bagaza_virus"
"8","Bas-Congo_tibrovirus"
"9","Bayou_orthohantavirus"
"10","Betacoronavirus_1"
"11","Black_creek_canal_orthohantavirus"
"12","Bundibugyo_ebolavirus"
"13","Bunyamwera_orthobunyavirus"
"14","Bwamba_orthobunyavirus"
"15","Cacipacore_virus"
"16","California_encephalitis_orthobunyavirus"
"17","Candiru_phlebovirus"
"18","Canine_morbillivirus"
"19","Caraparu_orthobunyavirus"
"20","Cardiovirus_A"
"21","Cardiovirus_B"
"22","Catu_orthobunyavirus"
"23","Chandipura_vesiculovirus"
"24","Chapare_mammarenavirus"
"25","Choclo_orthohantavirus"
"26","Cocal_vesiculovirus"
"27","Cosavirus_A"
"28","Cosavirus_B"
"29","Cosavirus_D"
"30","Cosavirus_E"
"31","Cosavirus_F"
"32","Crimean-Congo_haemorrhagic_fever_orthonairovirus"
"33","Dobrava-Belgrade_orthohantavirus"
"34","Dugbe_orthonairovirus"
"35","Duvenhage_lyssavirus"
"36","Edge_Hill_virus"
"37","Ekpoma_1_tibrovirus"
"38","Ekpoma_2_tibrovirus"
"39","Enterovirus_A"
"40","Enterovirus_B"
"41","Enterovirus_C"
"42","Enterovirus_D"
"43","Enterovirus_E"
"44","Erbovirus_A"
"45","European_bat_1_lyssavirus"
"46","European_bat_2_lyssavirus"
"47","Gadgets_Gully_virus"
"48","Guama_orthobunyavirus"
"49","Guanarito_mammarenavirus"
"50","Guaroa_orthobunyavirus"
"51","Hantaan_orthohantavirus"
"52","Hendra_henipavirus"
"53","Hepacivirus_C"
"54","Hepatitis_delta_virus"
"55","Hepatovirus_A"
"56","Human_coronavirus_HKU1"
"57","Human_coronavirus_NL63"
"58","Human_immunodeficiency_virus_1"
"59","Human_immunodeficiency_virus_2"
"60","Human_orthopneumovirus"
"61","Human_respirovirus_1"
"62","Human_respirovirus_3"
"63","Human_rubulavirus_2"
"64","Human_rubulavirus_4"
"65","Human_torovirus"
"66","Indiana_vesiculovirus"
"67","Influenza_C_virus_"
"68","Irkut_lyssavirus"
"69","Isfahan_vesiculovirus"
"70","Junín_mammarenavirus"
"71","Kairi_orthobunyavirus"
"72","Kyasanur_forest_disease_virus"
"73","Laguna_Negra_orthohantavirus"
"74","Langat_virus"
"75","Lassa_mammarenavirus"
"76","Lujo_mammarenavirus"
"77","Lymphocytic_choriomeningitis_mammarenavirus"
"78","Machupo_mammarenavirus"
"79","Madrid_orthobunyavirus"
"80","Mamastrovirus_1"
"81","Mamastrovirus_6"
"82","Mamastrovirus_8"
"83","Mamastrovirus_9"
"84","Mammalian_1_bornavirus"
"85","Mammalian_2_bornavirus"
"86","Mammalian_rubulavirus_5"
"87","Maraba_vesiculovirus"
"88","Marburg_marburgvirus"
"89","Marituba_orthobunyavirus"
"90","Measles_morbillivirus"
"91","Middle_East_respiratory_syndrome-related_coronavirus"
"92","Mobala_mammarenavirus"
"93","Mokola_lyssavirus"
"94","Mosso_das_Pedras_virus"
"95","Mumps_rubulavirus"
"96","New_Jersey_vesiculovirus"
"97","Nipah_henipavirus"
"98","Ntaya_virus"
"99","Nyando_orthobunyavirus"
"100","Oriboca_orthobunyavirus"
"101","Oropouche_orthobunyavirus"
"102","Orthohepevirus_A"
"103","Parechovirus_A"
"104","Parechovirus_B"
"105","Patois_orthobunyavirus"
"106","Pegivirus_A"
"107","Pichindé_mammarenavirus"
"108","Piry_vesiculovirus"
"109","Punta_Toro_phlebovirus"
"110","Puumala_orthohantavirus"
"111","Rabies_lyssavirus"
"112","Rhinovirus_A"
"113","Rhinovirus_B"
"114","Rhinovirus_C"
"115","Rift_Valley_fever_phlebovirus"
"116","Rio_Negro_virus"
"117","Rotavirus_H"
"118","Rubella_virus"
"119","Sabiá_mammarenavirus"
"120","Salivirus_A"
"121","Sandfly_fever_Naples_phlebovirus"
"122","Sangassou_orthohantavirus"
"123","Sapporo_virus"
"124","Seoul_orthohantavirus"
"125","SFTS_phlebovirus"
"126","Shuni_orthobunyavirus"
"127","Simian_rubulavirus"
"128","Sin_Nombre_orthohantavirus"
"129","Sosuga_rubulavirus"
"130","Sudan_ebolavirus"
"131","Tacaiuma_orthobunyavirus"
"132","Tai_forest_ebolavirus"
"133","Thailand_orthohantavirus"
"134","Thiafora_orthonairovirus"
"135","Thottapalayam_orthohantavirus"
"136","Tioman_rubulavirus"
"137","Tonate_virus"
"138","Tula_orthohantavirus"
"139","Uukuniemi_phlebovirus"
"140","Whataroa_virus"
"141","Whitewater_Arroyo_mammarenavirus"
"142","Wyeomyia_orthobunyavirus"
