Species,Genus,Family,Envelope,Genome,ICTV history URL,Discovery year,Reference (discovery),Serological detection only,Vector,Inhalation,Ingestion,Sexual,Iatrogenic (inc. blood),Fomites,Broken Skin,Maternal,Direct Contact,Reference (Transmission route),Ref2 (TR),Transmission level,Person-to-person,Host range,Human only,Non-human primate,Other mammals,Birds,Reptiles,Fish,Reference (Host range),Ref2 (HR)
Chapare mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161875,2008,18421377,N,0,1,0,0,0,0,0,0,0,12615305,,2,0,broad,0,0,1,0,0,0,18421377,
Guanarito mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161879,1991,1681354,N,0,1,0,0,0,0,0,0,0,8166352,12615305,3,1,broad,0,0,1,0,0,0,10463688,
Junín mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161881,1958,13586110,N,0,1,0,0,0,0,0,0,0,24901990,12615305,3,1,broad,0,0,1,0,0,0,23202466,24901990
Lassa mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161882,1970,4987547,N,0,1,0,0,0,0,0,1,0,26276630,15487592,3,1,broad,0,0,1,0,0,0,17326956,15487592
Lujo mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161884,2009,19478873,N,0,1,0,0,0,1,0,0,1,25393244,,3,1,broad,0,0,1,0,0,0,22953019,
Lymphocytic choriomeningitis mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161887,1934,Available from external site,N,0,1,0,0,0,0,0,1,0,26631809,23666045,3,1,broad,0,1,1,0,0,0,23666045,
Machupo mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161888,1964,14196061,N,0,1,0,0,0,0,0,0,0,25031335,,3,1,broad,0,0,1,0,0,0,182399,
Mobala mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161891,1985,2986324,Y,0,1*,0,0,0,0,0,0,0,26982388,,2,0,broad,0,0,1,0,0,0,26982388,
Pichindé mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161896,1974,4856825,Y,0,1*,0,0,0,0,0,0,0,23552411,,2,0,broad,0,0,1,0,0,0,23552411,
Sabiá mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161898,1994,7905555,N,0,1,0,0,0,0,0,0,0,7905555,,3,1,broad,0,0,1,0,0,0,7905555,
Whitewater Arroyo mammarenavirus,Mammarenavirus,Arenaviridae,1,(-)ssRNA,20161902,2000,10960307,N,0,1,0,0,0,0,0,0,0,11508391,,2,0,broad,0,0,1,0,0,0,11508391,
Mamastrovirus 1,Mamastrovirus,Astroviridae,0,(+)ssRNA,20161926,1975,48925,N,0,0,1,0,0,0,0,0,0,16546454,,4b,1,narrow,1,0,0,0,0,0,16546454,
Mamastrovirus 6,Mamastrovirus,Astroviridae,0,(+)ssRNA,20161931,2008,18398449,N,0,0,1,0,0,0,0,0,0,26212039,24789796,4b,1,narrow,1,0,0,0,0,0,26212039,
Mamastrovirus 8,Mamastrovirus,Astroviridae,0,(+)ssRNA,20161933,2009,19814825,N,0,0,1,0,0,0,0,0,0,25975198,,4b,1,narrow,1,0,0,0,0,0,25975198,
Mamastrovirus 9,Mamastrovirus,Astroviridae,0,(+)ssRNA,20161934,2009,19706703,N,0,0,1,0,0,0,0,0,0,19706703,,4b,1,narrow,1,0,0,0,0,0,19706703,
Mammalian 1 bornavirus,Bornavirus,Bornaviridae,1,(-)ssRNA,20160985,1985,3922055,N,0,0,0,0,0,0,0,0,1,23223618,,2,0,broad,0,1,1,0,0,0,23223618,
Mammalian 2 bornavirus ,Bornavirus,Bornaviridae,1,(-)ssRNA,20165112,2015,26154788,N,0,0,0,0,0,0,1,0,1*,26154788,,2,0,broad,0,0,1,0,0,0,26154788,
Norwalk virus ,Norovirus,Caliciviridae,0,(+)ssRNA,20162202,1972,4117963,N,0,0,1,0,0,0,0,0,1,19796107,22317811,4a,1,broad,0,0,1,0,0,0,22389721,
Sapporo virus,Sapovirus,Caliciviridae,0,(+)ssRNA,20162204,1980,7410899,N,0,0,1,0,0,0,0,0,0,27120472,,4a,1,broad,0,0,1,0,0,0,21645054,
Vesicular exanthema of swine virus,Vesivirus,Caliciviridae,0,(+)ssRNA,20162207,1998,9502467,N,0,1*,1*,0,0,0,0,0,1*,6283714,,2,0,broad,0,0,1,0,1,1,19913368,
Alphacoronavirus 1,Alphacoronavirus,Coronaviridae,1,(+)ssRNA,20161200,2007,17447647,Y,0,0,1*,0,0,0,0,0,0,22320357,,2,0,broad,0,0,1,0,0,0,22320357,28549438
Human coronavirus 229E ,Alphacoronavirus,Coronaviridae,1,(+)ssRNA,20161203,1966,4285768,N,0,1,0,0,0,1,0,0,0,26556276,,4b,1,narrow,1,0,0,0,0,0,12551991,
Human coronavirus NL63,Alphacoronavirus,Coronaviridae,1,(+)ssRNA,20161204,2004,15073334,N,0,1,0,0,0,1,0,0,0,21366416,,4b,1,narrow,1,0,0,0,0,0,21366416,
