"","x"
"1","Adelaide_River_virus"
"2","African_horse_sickness_virus"
"3","Akabane_virus"
"4","Allpaahuayo_virus"
"5","Amapari_virus"
"6","Andes_virus"
"7","Anopheles_A_virus"
"8","Anopheles_B_virus"
"9","Apoi_virus"
"10","Araguari_virus"
"11","Aravan_virus"
"12","Arumowot_virus"
"13","Aura_virus"
"14","Baboon_orthoreovirus"
"15","Bakau_virus"
"16","Barur_virus"
"17","Bayou_virus"
"18","Bear_Canyon_virus"
"19","Berrimah_virus"
"20","Bhanja_virus"
"21","Bimiti_virus"
"22","Bivens_Arm_virus"
"23","Black_Creek_Canal_virus"
"24","Bluetongue_virus"
"25","Border_disease_virus"
"26","Borna_disease_virus"
"27","Bouboui_virus"
"28","Bovine_astrovirus"
"29","Bovine_coronavirus"
"30","Bovine_enteric_calicivirus_strain_NB"
"31","Bovine_ephemeral_fever_virus"
"32","Bovine_foamy_virus"
"33","Bovine_immunodeficiency_virus"
"34","Bovine_leukemia_virus"
"35","Bovine_norovirus-CH126"
"36","Bovine_norovirus-Jena"
"37","Bovine_parainfluenza_virus_3"
"38","Bovine_respiratory_syncytial_virus"
"39","Bovine_torovirus"
"40","Bovine_viral_diarrhea_virus_2"
"41","Bujaru_virus"
"42","Bukalasa_bat_virus"
"43","Bunyamwera_virus"
"44","Cabassou_virus"
"45","California_encephalitis_virus"
"46","Canine_calicivirus"
"47","Canine_coronavirus"
"48","Canine_distemper_virus"
"49","Cano_Delgadito_virus"
"50","Caprine_arthritis_encephalitis_virus"
"51","Caraparu_virus"
"52","Carey_Island_virus"
"53","Catu_virus"
"54","Cetacean_morbillivirus_virus"
"55","Chandipura_virus"
"56","Changuinola_virus"
"57","Chobar_Gorge_virus"
"58","Classical_swine_fever_virus"
"59","Cocal_virus"
"60","Cote_d'Ivoire_ebolavirus"
"61","Cowbone_Ridge_virus"
"62","Crimean-Congo_hemorrhagic_fever_virus"
"63","Cupixi_virus"
"64","Dakar_bat_virus"
"65","Dera_Ghazi_Khan_virus"
"66","Dobrava-Belgrade_virus"
"67","Dugbe_virus"
"68","Duvenhage_virus"
"69","El_Moro_Canyon_virus"
"70","Encephalomyocarditis_virus"
"71","Entebbe_bat_virus"
"72","Epizootic_hemorrhagic_disease_virus"
"73","Equine_arteritis_virus"
"74","Equine_encephalosis_virus"
"75","Equine_foamy_virus"
"76","Equine_infectious_anemia_virus"
"77","Equine_rhinitis_B_virus"
"78","Equine_torovirus"
"79","Eubenangee_virus"
"80","European_bat_lyssavirus_1"
"81","European_bat_lyssavirus_2"
"82","European_brown_hare_syndrome_virus"
"83","Feline_astrovirus"
"84","Feline_calicivirus"
"85","Feline_coronavirus"
"86","Feline_foamy_virus"
"87","Feline_immunodeficiency_virus"
"88","Feline_leukemia_virus"
"89","Flexal_virus"
"90","Gan_Gan_virus"
"91","GB_virus_A"
"92","GB_virus_B"
"93","GB_virus_C"
"94","Gibbon_ape_leukemia_virus"
"95","Guama_virus"
"96","Guanarito_virus"
"97","Guaroa_virus"
"98","Guinea_pig_type-C_oncovirus"
"99","Hantaan_virus"
"100","Hendra_virus"
"101","Hepatitis_A_virus"
"102","Hepatitis_E_virus"
"103","Human_enterovirus_A"
"104","Human_enterovirus_B"
"105","Human_enterovirus_D"
"106","Human_norovirus-Alphatron"
"107","Human_parainfluenza_virus_1"
"108","Human_parainfluenza_virus_2"
"109","Human_parainfluenza_virus_3"
"110","Human_respiratory_syncytial_virus"
"111","Ife_virus"
"112","Influenza_C_virus"
"113","Ippy_virus"
"114","Irkut_virus"
"115","Isfahan_virus"
"116","Isla_Vista_virus"
"117","Issyk-Kul_virus"
"118","Itaporanga_virus"
"119","Jaagsiekte_sheep_retrovirus"
"120","Japanaut_virus"
"121","Jugra_virus"
"122","Junin_virus"
"123","Jurona_virus"
"124","Jutiapa_virus"
"125","Kaeng_Khoi_virus"
"126","Kairi_virus"
"127","Kasokero_virus"
"128","Kern_Canyon_virus"
"129","Keuraliba_virus"
"130","Khabarovsk_virus"
"131","Khujand_virus"
"132","Koongol_virus"
"133","Kotonkan_virus"
"134","Koutango_virus"
"135","Kyasanur_Forest_disease_virus"
"136","Lactate_dehydrogenase-elevating_virus"
"137","Lagos_bat_virus"
"138","Laguna_Negra_virus"
"139","Lake_Victoria_marburgvirus"
"140","Langur_virus"
"141","Lassa_virus"
"142","Latino_virus"
"143","Ljungan_virus"
"144","Lymphocytic_choriomeningitis_virus"
"145","Machupo_virus"
"146","Madrid_virus"
"147","Main_Drain_virus"
"148","Manzanilla_virus"
"149","Mapuera_virus"
"150","Maraba_virus"
"151","Marituba_virus"
"152","Mason-Pfizer_monkey_virus"
"153","Measles_virus"
"154","Menangle_virus"
